season,event,avg_speed,max_speed,avg_throttle,brake_ratio,n_drivers_used,cluster,cluster_name
2023,Bahrain Grand Prix,199.88488496162438,205.60555555555555,64.44907088112248,0.20508258359166018,20,1,Mixed
2023,Saudi Arabian Grand Prix,235.11149609151326,239.53276353276354,75.74674929112655,0.1412744741683247,20,2,High-speed
2023,Australian Grand Prix,230.7447297776256,234.33448275862068,76.59521762696579,0.13592957880988138,19,2,High-speed
2023,Azerbaijan Grand Prix,202.16105113233635,208.50375939849624,66.43491565538152,0.21297560189536785,20,1,Mixed
2023,Miami Grand Prix,210.6860595861689,215.24556213017752,65.55995582110103,0.17957646216917547,20,1,Mixed
2023,Monaco Grand Prix,153.26802803582422,155.98245614035088,49.29875493930852,0.28225164026250515,20,0,Low-speed / street-like
2023,Spanish Grand Prix,213.35055478107637,217.9831081081081,68.93513220510775,0.1674241297526593,20,1,Mixed
2023,Canadian Grand Prix,203.6404645541888,210.7427536231884,67.70791975723246,0.19135469040757358,20,1,Mixed
2023,Austrian Grand Prix,223.01279242436289,229.9798387096774,70.76905321107155,0.18567295345320414,20,2,High-speed
2023,British Grand Prix,228.20420730003553,231.15,71.38426618439537,0.15143696076024743,20,2,High-speed
2023,Hungarian Grand Prix,188.6327995422509,193.2796052631579,58.93535472139927,0.22627420888584682,18,0,Low-speed / street-like
2023,Belgian Grand Prix,226.50116766280672,233.79900744416872,69.98173455565765,0.1569331541921335,19,2,High-speed
2023,Dutch Grand Prix,203.21996278326634,208.63537906137185,64.24703838048995,0.20199714897277726,20,1,Mixed
2023,Italian Grand Prix,241.38194607289697,245.22641509433961,74.01423106,0.1478380928395339,19,2,High-speed
2023,Singapore Grand Prix,179.43271981872866,183.89071038251367,57.678031750393224,0.23284866014885378,18,0,Low-speed / street-like
2023,Japanese Grand Prix,211.60717810818664,220.3684210526316,64.1503004,0.16225682000028996,20,1,Mixed
2023,Qatar Grand Prix,224.67660216352476,228.98722044728436,72.52873739751132,0.14820525868768225,18,2,High-speed
2023,United States Grand Prix,194.5860785876503,198.7275204359673,62.269118941936355,0.19420246513982176,20,1,Mixed
2023,Mexico City Grand Prix,183.60215870491263,189.21694915254238,54.31926399418518,0.22902471980180616,19,0,Low-speed / street-like
2023,S?o Paulo Grand Prix,204.42194749904186,209.75378787878788,64.92013708468333,0.18255365492912487,17,1,Mixed
2023,Las Vegas Grand Prix,226.02882120084405,233.14364640883977,70.24415174245242,0.17609377886896319,20,2,High-speed
2023,Abu Dhabi Grand Prix,212.4213074336232,216.42388059701491,68.59785393120235,0.16293357810692177,20,1,Mixed
